Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1408701,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,KS,66102,Web,06/05/2015,06/05/2015,"GVA Holdings, LLC",Closed with non-monetary relief,Yes,
1408708,Credit card,,Other,,FL,33142,Web,06/05/2015,06/05/2015,JPMorgan Chase,Closed with explanation,Yes,
1407785,Credit reporting,,Incorrect information on credit report,Information is not mine,OH,44906,Web,06/05/2015,06/10/2015,TransUnion,In progress,Yes,
1408714,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33142,Web,06/05/2015,06/10/2015,Experian,Closed with explanation,Yes,
1407746,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,PA,18940,Referral,06/05/2015,06/09/2015,Ocwen,Closed with explanation,Yes,
1407744,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,TX,78723,Web,06/05/2015,06/05/2015,"EOS Holdings, Inc.",Closed with non-monetary relief,Yes,
1408712,Credit card,,Other,,FL,33142,Web,06/05/2015,06/05/2015,Discover,Closed with non-monetary relief,Yes,
1408711,Credit card,,Other,,FL,33142,Web,06/05/2015,06/05/2015,U.S. Bancorp,Closed with explanation,Yes,
1408709,Credit card,,Other,,FL,33142,Web,06/05/2015,06/09/2015,Citibank,Closed with explanation,Yes,
1407680,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,FL,33547,Web,06/05/2015,06/05/2015,Stearns Lending,Closed with explanation,Yes,Yes
1407710,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,ME,04605,Web,06/05/2015,06/05/2015,Carrington Mortgage,In progress,Yes,
1407677,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,VA,23323,Web,06/05/2015,06/05/2015,Bank of America,In progress,Yes,
1407732,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NC,27909,Web,06/05/2015,06/05/2015,Ocwen,In progress,Yes,
1407708,Debt collection,,Taking/threatening an illegal action,Threatened to sue on too old debt,IL,60074,Web,06/05/2015,06/10/2015,"Coastline Financial Resources, LLC",Closed with explanation,Yes,
1407643,Mortgage,Conventional fixed mortgage,Settlement process and costs,,CA,95630,Web,06/05/2015,06/05/2015,Dovenmuehle Mortgage Inc.,Closed with explanation,Yes,
1407623,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened arrest/jail if do not pay,GA,30045,Web,06/05/2015,06/05/2015,World Acceptance Corporation,Closed with explanation,Yes,Yes
1407621,Credit card,,Other,,AL,36612,Web,06/05/2015,06/05/2015,Wells Fargo,Closed with explanation,Yes,
1408722,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,TX,75227,Referral,06/05/2015,06/09/2015,Transworld Systems Inc.,Closed with explanation,Yes,
1407616,Credit reporting,,Incorrect information on credit report,Account terms,NY,14612,Web,06/05/2015,06/05/2015,Experian,In progress,Yes,
